name,monologue
John Oliver,"Last Week Tonight with John Oliver Season 13 Episode 3 Aired on March 1, 2026"
John Oliver,"John Oliver discusses FBI Director Kash Patel’s presence at the Olympic Games, why his work trips look an awful lot like vacations, and why he seems more interested in “working the media” than working his actual job. Then, Oliver explains why police body cameras can be useful, or useless, depending on whether they’re used properly, and why YouTube may have been a mistake – no matter how many videos there are of goats screaming."
John Oliver,"Note for Students & Writers: This transcript is archived here for educational purposes, critical analysis, and screenwriting study. All rights belong to the original creators."
John Oliver,"Welcome, welcome, welcome to “Last Week Tonight!” I’m John Oliver. Thank you so much for joining us. It has been a busy week – and I mean really busy."
John Oliver,"Trump, against zero odds, delivered the longest State of the Union in history."
John Oliver,"The U.S. and Israel attacked Iran, with Israeli officials claiming they’ve killed the Ayatollah Khamenei – and look: we’re taping this on Saturday, so who the fuck knows what’s happened by the time you see this?"
John Oliver,"Meanwhile, the Clintons testified at the Epstein hearings."
John Oliver,"And it turns out, we might be getting a new business daddy."
John Oliver,"Netflix has backed out of its bid to buy Warner Bros. Discovery, paving the way for rival Paramount Skydance to take over."
John Oliver,"Yeah, not great news! In fact, if I may quote anyone who’s ever accidentally sat on their Roku remote, “Oh shit, I’m in Paramount now, how the fuck do I get out of this?"
