name,monologue
Ronny Chieng,"20 million dollars is like one of his kids, it means nothing to him."
Ronny Chieng,"Wow, why is SVU wasting its time in New York? You’ve got at least 20 seasons down there in Wisconsin."
Ronny Chieng,"To be fair, if I’m ever talking to a white woman over 50, and I forget her name, I just call her Susan Crawford and I’m usually right like 80 percent of the time."
Ronny Chieng,"Maybe Elon just needs glasses. It could change everything. He could be like, Oh my God, that Cybertruck looks like sh*t."
Stephen Colbert,This scandal won’t be going anywhere any time soon because Mike Waltz has made a key strategic error. Being an idiot everywhere at all times.
Stephen Colbert,"He’s Venmo-ing his doctor? My man, if your doctor takes Venmo, that ain’t a doctor."
Stephen Colbert,"They did an investigation and found that the Trump team’s private data was posted online, including mobile numbers, email addresses, and passwords belonging to Tulsi Gabbard, Pete Hegseth, and Mike ‘Yeah, You Know I’m on This List’ Waltz."
Stephen Colbert,"These are our highest-ranking security officials. I don’t think we should trust these people with anything top secret. Hell, I don’t think we should trust these people with anything Pop Secret."
Stephen Colbert,"In that same White House meeting, not only did the president praise him, Trump assigned Waltz to ‘probe himself.’ Which we all know is a sin, but why limit it to Waltz? As far as I’m concerned, all these people can go probe themselves."
Stephen Colbert,"Trump cannot be happy about this. ‘Okay, we’ve lost Don Bacon. This just got real. If we lose Dave Nugget and Mark Filet-O-Fish, I’m a goner."
Stephen Colbert,What’s worse than ‘the fertilization president.’ Wait—spermander-in-chief.
Stephen Colbert,"‘A goody bag that helps with fertilization?’ Sir, nobody wants to hear about your scrotum."
Jimmy Kimmel,"They don’t even need to steal bases this year, they just buy them."
Jimmy Kimmel,"This is kind of cool. This year, the winning school gets to keep their federal funding."
Jimmy Kimmel,"Even Matt Gaetz was like, ‘How can you be so careless?'"
Jimmy Kimmel,"What a group. We have a national security advisor who doesn’t know how to secure, a defensive Secretary of Defense, a pro-measles Secretary of Health, and a Secretary of Education who wants to close the Department of Education."
Jimmy Kimmel,"Yeah, that’s the problem. They’ve been so transparent, we’ve seen all their information."
Jimmy Kimmel,"You know how sometimes your friends defend you and you wish they wouldn’t? ‘In the old days when Pete would get hammered and text, everything was spelled wrong, his thoughts were bizarre—this had none of that. There wasn’t even a dick pic!'"
Jimmy Kimmel,"Pete Hegseth and Mike Waltz have said and done so many stupid things this week, Trump might have to start calling them Eric and Don Jr."
Jimmy Kimmel,Blaming Signal for this is like blaming Tinder when you get caught cheating on your wife.
Jimmy Fallon,It’s not good—right now the White House has a group chat about invading Sesame Street.
Jimmy Fallon,"Though right now China’s like, ‘Who needs to spy through TikTok when you leak everything in group chats'"
Jimmy Fallon,"That’s a relief. I mean, he said the same thing about Covid and no problems there."
Jimmy Fallon,"Meanwhile whenever McDonald’s takes away the McRib, Trump threatens to bomb Scotland."
Jimmy Fallon,"He was like, I have to compare them to the documents I have in the bathroom at Mar-a-Lago."
Jimmy Fallon,"AHA. It makes sense because under RFK Jr, laughter might be our best and only medicine."
