name,monologue
Jimmy Fallon,"Welcome, welcome, welcome, welcome to ""The Tonight Show"". This is it. Thank you for being here. Thank you for watching. Well, guys, today President Trump announced that later this year he expects to meet with North Korean leader Kim Jong Un for the first time since 2019. -"
Jimmy Fallon,"Man, you know, you're depressed when you're texting an old hookup from seven years ago. You know that's true. What are you doing? You want to hang out? Yeah. Trump and Kim could meet in November. It all really depends on how their couple's Halloween costume goes, so, uh..."
Jimmy Fallon,"I'm chips. He's guacamole. And here's a photo from the last time Trump met with Kim Jong Un. And yeah, I -- I think it's cute how their bellies bump like the two soon-to-be moms at Lamaze class. Meanwhile, the big news this week is that Trump said that he's no longer talking to Iran."
Jimmy Fallon,"After months of negotiations, he now says that they're not speaking. Just check out what happened on his last call with the Ayatollah. This is real. -"
Jimmy Fallon,"Well, some more political news. After making a trip to Iowa this week, people are speculating that Pete Hegseth could be planning to run for president in 2028. Here to comment is a potential Pete Hegseth voter, Dirk Strétbarth. Hey, Dirk."
Jimmy Fallon,"Hey. Thanks for having me, Jimmy. It's actually pronounced street barf. It's an old German name that means guy who barfs in the street."
Jimmy Fallon,"Got it, got it. So you think you might vote for Pete Hegseth?"
Jimmy Fallon,"Oh, if he runs, I'm absolutely voting for him. This is Pete Hegseth we're talking about. He has a chance to be one of the greatest presidents of all time."
Jimmy Fallon,"No, I mean grayest. I love that his skin always has that week-old oyster sheen."
Jimmy Fallon,Oh. like you could peel off all the sweat and it would still be in the shape of his face.
